sourceId,year,branch,gender,skillCategory,placed,cgpa,codingScore,communicationScore,internships
2024148,2024,IT,Male,Python,0,7.7,8.4,6.6,2
2024149,2024,IT,Male,Python,0,6.8,8.7,8.2,0
2024150,2024,IT,Male,Python,0,8.6,7.7,7.2,1
2024151,2024,IT,Male,Java,1,9.5,9.4,7.2,1
2024152,2024,IT,Male,Java,1,8.8,8.7,9.0,3
2024153,2024,IT,Male,Java,1,9.6,9.0,9.1,2
2024154,2024,IT,Male,SQL,1,7.6,9.4,9.2,2
2024155,2024,IT,Male,SQL,0,6.4,8.5,7.1,0
2024156,2024,IT,Male,SQL,0,8.4,8.4,7.5,1
2024157,2024,IT,Male,Machine Learning,0,6.8,9.5,9.0,0
2024158,2024,IT,Male,Machine Learning,1,9.1,9.6,8.7,2
2024159,2024,IT,Male,Machine Learning,0,8.4,9.8,6.7,0
2024160,2024,IT,Male,Data Visualization,1,9.3,9.8,8.6,2
2024161,2024,IT,Male,Data Visualization,0,6.8,7.4,5.8,1
2024162,2024,IT,Male,Data Visualization,1,8.5,9.8,6.8,3
2024163,2024,IT,Female,C,0,8.2,9.8,5.2,1
2024164,2024,IT,Female,C,0,6.4,8.3,6.1,2
2024165,2024,IT,Female,C,0,7.9,9.8,8.0,0
2024166,2024,IT,Female,Python,0,7.0,8.9,8.8,2
2024167,2024,IT,Female,Python,0,6.6,7.7,6.7,1
2024168,2024,IT,Female,Python,0,6.1,8.5,7.4,3
2024169,2024,IT,Female,Java,1,9.3,9.8,7.4,2
2024170,2024,IT,Female,Java,0,8.1,9.8,8.4,0
2024171,2024,IT,Female,Java,1,8.8,9.8,7.3,2
2024172,2024,IT,Female,SQL,0,7.2,8.6,5.4,0
2024173,2024,IT,Female,SQL,0,6.8,8.5,8.8,2
2024174,2024,IT,Female,SQL,1,9.5,8.1,8.4,2
2024175,2024,IT,Female,Machine Learning,0,6.1,9.3,8.6,0
2024176,2024,IT,Female,Machine Learning,0,6.5,8.7,9.1,2
2024177,2024,IT,Female,Machine Learning,0,7.7,9.8,5.4,1
2024178,2024,IT,Female,Data Visualization,1,8.4,9.8,6.6,1
2024179,2024,IT,Female,Data Visualization,0,6.8,7.5,6.6,0
2024180,2024,IT,Female,Data Visualization,1,9.2,8.4,6.7,1
2024181,2024,CSM,Male,C,1,8.9,9.8,7.3,0
2024182,2024,CSM,Male,C,0,7.0,8.9,9.1,1
2024183,2024,CSM,Male,C,1,9.1,9.8,8.4,1
2024184,2024,CSM,Male,Python,1,8.1,9.8,7.9,1
2024185,2024,CSM,Male,Python,1,7.9,9.7,8.0,1
2024186,2024,CSM,Male,Python,1,8.2,8.0,6.6,2
2024187,2024,CSM,Male,Java,0,6.3,8.0,8.3,0
2024188,2024,CSM,Male,Java,0,7.9,9.5,7.9,0
2024189,2024,CSM,Male,Java,0,8.1,9.1,7.6,1
2024190,2024,CSM,Male,SQL,0,6.2,7.4,5.5,1
2024191,2024,CSM,Male,SQL,0,7.7,9.6,8.8,1
2024192,2024,CSM,Male,SQL,1,9.2,9.8,7.1,1
2024193,2024,CSM,Male,Machine Learning,0,7.7,8.8,5.3,1
2024194,2024,CSM,Male,Machine Learning,1,9.0,9.7,8.1,3
2024195,2024,CSM,Male,Machine Learning,1,7.6,9.8,7.5,1
2024196,2024,CSM,Male,Data Visualization,1,7.4,9.8,8.1,3
2024197,2024,CSM,Male,Data Visualization,0,7.3,9.8,9.1,0
2024198,2024,CSM,Male,Data Visualization,0,6.8,7.2,6.9,0
2024199,2024,CSM,Female,C,0,6.6,8.4,6.2,1
2024200,2024,CSM,Female,C,0,7.9,7.9,8.7,0
2024201,2024,CSM,Female,C,1,9.1,9.8,9.2,0
2024202,2024,CSM,Female,Python,0,7.9,8.4,6.6,0
2024203,2024,CSM,Female,Python,1,8.1,8.6,5.5,3
2024204,2024,CSM,Female,Python,1,8.3,8.2,8.0,1
2024205,2024,CSM,Female,Java,0,8.2,7.9,8.1,1
2024206,2024,CSM,Female,Java,1,8.6,9.8,7.9,2
2024207,2024,CSM,Female,Java,0,6.4,7.9,6.7,1
2024208,2024,CSM,Female,SQL,0,6.7,9.7,8.5,2
2024209,2024,CSM,Female,SQL,0,6.3,9.1,6.0,2
2024210,2024,CSM,Female,SQL,1,9.0,9.8,7.9,1
2024211,2024,CSM,Female,Machine Learning,0,7.3,7.9,5.9,1
2024212,2024,CSM,Female,Machine Learning,0,7.1,9.3,7.2,0
2024213,2024,CSM,Female,Machine Learning,0,6.3,7.6,6.4,2
2024214,2024,CSM,Female,Data Visualization,0,7.9,7.7,7.3,1
2024215,2024,CSM,Female,Data Visualization,1,9.3,8.4,8.7,1
2024216,2024,CSM,Female,Data Visualization,0,7.3,9.1,6.7,1
2024217,2025,CSE,Male,C,0,7.2,7.8,6.9,1
2024218,2025,CSE,Male,C,0,8.5,8.4,7.4,0
2024219,2025,CSE,Male,C,0,6.8,8.5,7.4,2
2024220,2025,CSE,Male,Python,0,8.3,7.8,9.1,0
2024221,2025,CSE,Male,Python,1,9.4,9.8,7.0,2
2024222,2025,CSE,Male,Python,0,7.6,9.8,6.8,0
2024223,2025,CSE,Male,Java,1,9.5,9.7,8.4,0
2024224,2025,CSE,Male,Java,0,6.5,8.9,7.9,1
2024225,2025,CSE,Male,Java,1,9.3,8.2,7.6,0
2024226,2025,CSE,Male,SQL,1,9.3,9.8,8.1,1
2024227,2025,CSE,Male,SQL,1,7.8,8.9,5.9,2
2024228,2025,CSE,Male,SQL,1,9.4,9.5,7.9,2
2024229,2025,CSE,Male,Machine Learning,1,8.0,8.8,8.7,3
2024230,2025,CSE,Male,Machine Learning,1,8.1,8.7,8.9,1
2024231,2025,CSE,Male,Machine Learning,0,6.1,9.2,8.1,2
2024232,2025,CSE,Male,Data Visualization,0,8.3,8.5,7.7,0
2024233,2025,CSE,Male,Data Visualization,1,8.7,9.8,8.3,1
2024234,2025,CSE,Male,Data Visualization,0,6.8,9.1,5.4,0
2024235,2025,CSE,Female,C,1,9.1,8.3,7.9,1
2024236,2025,CSE,Female,C,0,7.7,7.4,5.8,1
2024237,2025,CSE,Female,C,0,7.6,8.8,6.9,1
2024238,2025,CSE,Female,Python,1,8.8,9.8,7.5,0
2024239,2025,CSE,Female,Python,1,8.4,9.8,8.9,2
2024240,2025,CSE,Female,Python,0,7.2,8.6,6.9,2
2024241,2025,CSE,Female,Java,1,9.1,8.1,7.3,0
2024242,2025,CSE,Female,Java,0,7.2,7.4,8.5,2
2024243,2025,CSE,Female,Java,1,8.2,9.3,6.2,1
2024244,2025,CSE,Female,SQL,1,8.0,9.8,8.5,2
2024245,2025,CSE,Female,SQL,0,6.7,9.1,6.5,0
2024246,2025,CSE,Female,SQL,0,7.2,7.3,6.3,0
2024247,2025,CSE,Female,Machine Learning,1,8.3,8.3,7.3,2
2024248,2025,CSE,Female,Machine Learning,1,8.1,9.1,7.1,1
2024249,2025,CSE,Female,Machine Learning,1,8.6,9.8,5.3,2
2024250,2025,CSE,Female,Data Visualization,1,7.9,8.9,7.1,1
2024251,2025,CSE,Female,Data Visualization,1,8.5,8.5,8.9,0
2024252,2025,CSE,Female,Data Visualization,1,8.7,9.1,5.4,2
2024253,2025,CSD,Male,C,0,6.3,7.6,7.5,0
2024254,2025,CSD,Male,C,0,8.2,9.6,5.6,1
2024255,2025,CSD,Male,C,1,8.4,9.4,7.6,1
2024256,2025,CSD,Male,Python,0,8.5,8.0,6.1,0
2024257,2025,CSD,Male,Python,0,6.6,9.7,5.7,0
2024258,2025,CSD,Male,Python,1,7.8,9.7,6.0,2
2024259,2025,CSD,Male,Java,1,9.1,9.8,8.4,2
2024260,2025,CSD,Male,Java,0,6.7,9.3,6.1,3
2024261,2025,CSD,Male,Java,1,8.6,9.8,8.6,2
2024262,2025,CSD,Male,SQL,1,8.6,9.8,6.1,2
2024263,2025,CSD,Male,SQL,0,6.9,7.4,5.9,1
2024264,2025,CSD,Male,SQL,1,9.3,9.4,8.0,1
2024265,2025,CSD,Male,Machine Learning,1,8.9,8.8,6.0,2
2024266,2025,CSD,Male,Machine Learning,0,7.2,9.7,6.5,1
2024267,2025,CSD,Male,Machine Learning,0,6.3,7.5,8.3,2
2024268,2025,CSD,Male,Data Visualization,0,7.3,8.9,8.4,1
2024269,2025,CSD,Male,Data Visualization,1,8.4,9.8,8.4,0
2024270,2025,CSD,Male,Data Visualization,0,7.1,7.8,5.4,1
2024271,2025,CSD,Female,C,0,8.6,7.6,6.3,1
2024272,2025,CSD,Female,C,0,8.2,8.4,6.4,0
2024273,2025,CSD,Female,C,0,7.5,8.1,8.9,0
2024274,2025,CSD,Female,Python,0,8.1,8.5,8.4,0
2024275,2025,CSD,Female,Python,1,7.6,9.8,6.7,2
2024276,2025,CSD,Female,Python,1,7.6,8.0,7.8,3
2024277,2025,CSD,Female,Java,0,6.9,8.3,8.2,1
2024278,2025,CSD,Female,Java,0,7.7,9.8,7.8,0
2024279,2025,CSD,Female,Java,0,7.1,8.8,8.6,2
2024280,2025,CSD,Female,SQL,1,9.6,9.8,9.1,2
2024281,2025,CSD,Female,SQL,0,8.0,8.4,5.9,0
2024282,2025,CSD,Female,SQL,1,9.0,9.8,5.6,0
2024283,2025,CSD,Female,Machine Learning,1,9.0,9.3,5.4,2
2024284,2025,CSD,Female,Machine Learning,1,9.4,8.8,5.3,1
2024285,2025,CSD,Female,Machine Learning,1,7.6,8.3,8.1,2
2024286,2025,CSD,Female,Data Visualization,0,7.9,7.8,5.2,2
2024287,2025,CSD,Female,Data Visualization,1,8.6,9.5,5.4,3
2024288,2025,CSD,Female,Data Visualization,1,7.9,9.8,6.6,2
2024289,2025,EEE,Male,C,0,6.4,7.8,7.5,0
2024290,2025,EEE,Male,C,0,7.4,8.5,5.5,2
2024291,2025,EEE,Male,C,0,8.0,9.5,7.6,0
2024292,2025,EEE,Male,Python,0,7.5,9.6,7.2,0
2024293,2025,EEE,Male,Python,0,6.7,7.9,7.6,0
2024294,2025,EEE,Male,Python,1,8.5,7.7,7.6,2
2024295,2025,EEE,Male,Java,1,9.1,9.4,8.5,2
2024296,2025,EEE,Male,Java,0,7.0,7.0,8.4,0
2024297,2025,EEE,Male,Java,0,6.5,7.4,9.0,1
2024298,2025,EEE,Male,SQL,0,6.7,8.7,8.2,0
2024299,2025,EEE,Male,SQL,1,8.5,9.4,5.3,2
2024300,2025,EEE,Male,SQL,0,7.4,7.1,6.5,0
2024301,2025,EEE,Male,Machine Learning,0,7.4,7.9,8.9,2
2024302,2025,EEE,Male,Machine Learning,0,7.6,8.2,7.0,1
2024303,2025,EEE,Male,Machine Learning,0,6.1,6.7,7.8,2
2024304,2025,EEE,Male,Data Visualization,0,6.1,9.0,6.6,3
2024305,2025,EEE,Male,Data Visualization,1,9.4,8.6,7.3,1
2024306,2025,EEE,Male,Data Visualization,1,9.5,9.6,5.4,1
2024307,2025,EEE,Female,C,0,7.8,7.9,8.5,1
2024308,2025,EEE,Female,C,0,8.1,9.6,6.3,1
2024309,2025,EEE,Female,C,1,9.1,8.9,6.0,2
2024310,2025,EEE,Female,Python,0,6.4,6.8,6.1,2
2024311,2025,EEE,Female,Python,1,8.8,7.5,8.8,2
2024312,2025,EEE,Female,Python,1,8.1,8.6,8.0,3
2024313,2025,EEE,Female,Java,1,8.8,9.8,7.6,0
2024314,2025,EEE,Female,Java,0,6.5,6.5,7.0,1
2024315,2025,EEE,Female,Java,0,6.0,7.4,7.0,1
2024316,2025,EEE,Female,SQL,0,6.8,6.9,5.7,0
2024317,2025,EEE,Female,SQL,0,8.0,9.1,8.6,0
2024318,2025,EEE,Female,SQL,0,6.9,8.5,8.0,1
2024319,2025,EEE,Female,Machine Learning,0,7.1,8.6,6.8,1
2024320,2025,EEE,Female,Machine Learning,0,7.0,8.2,5.2,1
2024321,2025,EEE,Female,Machine Learning,0,6.2,8.6,7.9,0
2024322,2025,EEE,Female,Data Visualization,0,7.0,7.6,7.2,3
2024323,2025,EEE,Female,Data Visualization,0,7.3,7.7,7.4,1
2024324,2025,EEE,Female,Data Visualization,0,7.3,9.6,8.0,0
2024325,2025,AIML,Male,C,0,7.4,9.4,7.7,1
2024326,2025,AIML,Male,C,1,9.5,8.6,8.9,2
2024327,2025,AIML,Male,C,0,8.1,8.1,6.1,1
2024328,2025,AIML,Male,Python,1,8.9,9.8,8.6,1
2024329,2025,AIML,Male,Python,1,9.1,9.8,7.9,0
2024330,2025,AIML,Male,Python,1,8.7,8.9,6.8,1
2024331,2025,AIML,Male,Java,0,6.6,8.1,6.8,1
2024332,2025,AIML,Male,Java,1,8.4,9.4,5.3,1
2024333,2025,AIML,Male,Java,1,9.5,9.8,6.3,1
2024334,2025,AIML,Male,SQL,0,7.4,9.8,5.7,1
2024335,2025,AIML,Male,SQL,1,9.1,9.0,5.8,2
2024336,2025,AIML,Male,SQL,0,6.5,9.5,8.6,2
2024337,2025,AIML,Male,Machine Learning,1,7.4,9.0,8.6,1
2024338,2025,AIML,Male,Machine Learning,1,7.6,8.4,8.3,2
2024339,2025,AIML,Male,Machine Learning,0,6.9,7.9,7.5,1
2024340,2025,AIML,Male,Data Visualization,1,8.7,9.8,6.5,0
2024341,2025,AIML,Male,Data Visualization,1,9.0,9.0,7.5,0
2024342,2025,AIML,Male,Data Visualization,0,6.1,8.9,8.6,1
2024343,2025,AIML,Female,C,0,7.5,8.3,7.4,0
2024344,2025,AIML,Female,C,1,9.6,9.8,8.9,1
2024345,2025,AIML,Female,C,1,9.6,8.8,7.7,2
2024346,2025,AIML,Female,Python,1,6.7,9.8,6.2,3
2024347,2025,AIML,Female,Python,0,6.7,7.7,8.2,1
2024348,2025,AIML,Female,Python,0,7.5,8.7,7.7,1
2024349,2025,AIML,Female,Java,1,8.7,9.8,7.2,3
2024350,2025,AIML,Female,Java,1,8.1,8.8,5.6,3
2024351,2025,AIML,Female,Java,0,6.1,9.4,5.5,1
2024352,2025,AIML,Female,SQL,0,6.8,8.8,5.9,1
2024353,2025,AIML,Female,SQL,1,8.3,8.6,6.6,3
2024354,2025,AIML,Female,SQL,0,6.4,8.7,8.2,1
2024355,2025,AIML,Female,Machine Learning,0,6.1,7.9,7.4,0
2024356,2025,AIML,Female,Machine Learning,1,6.0,9.8,8.1,3
2024357,2025,AIML,Female,Machine Learning,1,7.8,9.1,5.4,1
2024358,2025,AIML,Female,Data Visualization,0,6.2,9.4,9.1,1
2024359,2025,AIML,Female,Data Visualization,1,9.4,9.1,6.4,1
2024360,2025,AIML,Female,Data Visualization,1,8.7,9.8,8.6,1
2024361,2025,IT,Male,C,0,6.2,7.1,8.9,2
2024362,2025,IT,Male,C,0,6.0,8.9,7.4,1
2024363,2025,IT,Male,C,1,8.5,8.4,8.1,1
2024364,2025,IT,Male,Python,1,7.7,8.4,6.6,2
2024365,2025,IT,Male,Python,1,9.4,9.8,8.5,3
2024366,2025,IT,Male,Python,1,9.1,9.8,7.5,2
2024367,2025,IT,Male,Java,0,6.2,8.7,9.1,2
2024368,2025,IT,Male,Java,1,9.4,9.8,8.0,1
2024369,2025,IT,Male,Java,0,7.6,9.1,6.2,2
2024370,2025,IT,Male,SQL,1,9.4,9.3,8.1,2
2024371,2025,IT,Male,SQL,0,7.7,9.6,5.8,1
2024372,2025,IT,Male,SQL,0,7.4,9.6,5.4,1
2024373,2025,IT,Male,Machine Learning,0,7.7,8.5,6.5,1
2024374,2025,IT,Male,Machine Learning,1,9.2,8.5,8.1,0
2024375,2025,IT,Male,Machine Learning,0,6.2,8.3,8.2,1
2024376,2025,IT,Male,Data Visualization,0,7.3,9.7,7.7,0
2024377,2025,IT,Male,Data Visualization,1,9.4,9.8,7.2,2
2024378,2025,IT,Male,Data Visualization,0,6.1,6.7,8.8,1
2024379,2025,IT,Female,C,0,6.9,9.6,6.4,1
2024380,2025,IT,Female,C,0,8.7,8.3,9.0,0
2024381,2025,IT,Female,C,0,9.2,7.9,5.5,0
2024382,2025,IT,Female,Python,0,6.6,9.5,5.8,0
2024383,2025,IT,Female,Python,1,8.8,7.8,7.2,2
2024384,2025,IT,Female,Python,1,8.9,9.8,8.1,3
2024385,2025,IT,Female,Java,0,6.7,6.9,8.7,1
2024386,2025,IT,Female,Java,0,7.5,9.7,5.6,1
2024387,2025,IT,Female,Java,1,9.1,8.5,8.4,2
2024388,2025,IT,Female,SQL,1,9.3,9.7,6.4,1
2024389,2025,IT,Female,SQL,0,7.7,9.4,6.5,1
2024390,2025,IT,Female,SQL,1,9.3,7.8,7.1,2
2024391,2025,IT,Female,Machine Learning,0,7.0,9.6,5.3,1
2024392,2025,IT,Female,Machine Learning,1,8.6,9.8,5.8,0
2024393,2025,IT,Female,Machine Learning,0,6.0,8.3,6.0,1
2024394,2025,IT,Female,Data Visualization,1,8.1,9.8,6.3,3
2024395,2025,IT,Female,Data Visualization,0,6.1,6.9,8.0,0
2024396,2025,IT,Female,Data Visualization,1,8.5,9.3,7.4,1
2024397,2025,CSM,Male,C,1,9.1,9.4,7.7,1
2024398,2025,CSM,Male,C,0,7.8,8.4,6.7,1
2024399,2025,CSM,Male,C,0,6.7,7.8,5.9,2
2024400,2025,CSM,Male,Python,0,6.6,7.3,6.4,1
2024401,2025,CSM,Male,Python,0,7.5,9.6,6.4,1
2024402,2025,CSM,Male,Python,0,7.1,9.0,8.5,0
2024403,2025,CSM,Male,Java,1,8.5,9.6,8.2,1
2024404,2025,CSM,Male,Java,0,7.0,8.7,6.1,2
2024405,2025,CSM,Male,Java,0,6.9,9.6,8.6,1
2024406,2025,CSM,Male,SQL,0,6.3,8.6,5.7,0
2024407,2025,CSM,Male,SQL,1,9.4,9.1,8.8,3
